Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
KW56110,Oregon,18361.55525,No,Basic,Bachelor,2/28/11,Unemployed,M,0,Suburban,Single,182,3,56,0,2,Personal Auto,Personal L2,Offer1,Web,1310.4,Luxury Car,Medsize
NZ26102,Oregon,2289.618736,No,Basic,High School or Below,2/28/11,Unemployed,F,0,Suburban,Single,65,8,58,0,1,Personal Auto,Personal L3,Offer2,Branch,468,Four-Door Car,Small
JO63462,California,3307.99904,No,Extended,Bachelor,2/28/11,Employed,M,79797,Rural,Divorced,84,27,46,0,1,Corporate Auto,Corporate L2,Offer4,Branch,31.755601,Two-Door Car,Medsize
XX88577,California,15727.13063,No,Premium,Bachelor,2/28/11,Employed,M,84824,Rural,Married,196,7,4,0,9,Corporate Auto,Corporate L1,Offer2,Branch,319.820747,SUV,Small
RE42925,Oregon,13107.92594,No,Basic,Bachelor,2/28/11,Employed,M,49088,Suburban,Divorced,114,17,87,1,2,Corporate Auto,Corporate L2,Offer3,Branch,547.2,SUV,Small
PS31050,Washington,21404.35885,No,Basic,Bachelor,2/28/11,Unemployed,F,0,Suburban,Single,69,35,79,0,2,Personal Auto,Personal L3,Offer1,Branch,496.8,Four-Door Car,Medsize
YM99866,Arizona,2611.965869,No,Basic,High School or Below,2/28/11,Employed,M,53904,Suburban,Married,67,1,17,2,1,Personal Auto,Personal L2,Offer3,Agent,321.6,Four-Door Car,Medsize
MD86050,Oregon,4721.659016,No,Basic,High School or Below,2/28/11,Unemployed,M,0,Suburban,Single,67,20,38,0,8,Personal Auto,Personal L3,Offer4,Branch,482.4,Four-Door Car,Medsize
GN80437,Oregon,3444.967503,No,Extended,College,2/28/11,Unemployed,F,0,Suburban,Married,91,28,59,0,1,Special Auto,Special L2,Offer2,Branch,596.050118,Four-Door Car,Medsize
BU41599,Washington,5581.761298,No,Basic,Master,2/28/11,Employed,F,62739,Urban,Divorced,70,29,80,0,3,Personal Auto,Personal L1,Offer2,Call Center,239.328571,Two-Door Car,Medsize
DW59142,Nevada,22693.29076,No,Basic,High School or Below,2/28/11,Employed,F,71879,Rural,Single,64,1,64,0,2,Corporate Auto,Corporate L3,Offer2,Web,9.163065,Two-Door Car,Medsize
RX19151,Washington,8176.576796,No,Basic,Bachelor,2/28/11,Employed,M,67137,Urban,Married,111,0,49,5,6,Personal Auto,Personal L1,Offer2,Agent,314.880326,SUV,Medsize
YE27183,Oregon,5913.199024,No,Extended,Bachelor,2/28/11,Unemployed,M,0,Suburban,Single,91,13,89,0,4,Corporate Auto,Corporate L3,Offer3,Call Center,436.8,Four-Door Car,Medsize
IK99137,Washington,5515.41017,No,Extended,Bachelor,2/28/11,Unemployed,M,0,Suburban,Divorced,79,5,62,0,7,Special Auto,Special L2,Offer2,Web,379.2,Four-Door Car,Small
MF18493,California,17497.52201,Yes,Basic,College,2/28/11,Unemployed,M,0,Suburban,Divorced,73,9,94,0,2,Personal Auto,Personal L1,Offer1,Agent,350.4,Two-Door Car,Medsize
BC43958,California,7285.030983,Yes,Basic,High School or Below,2/28/11,Employed,M,44788,Suburban,Married,61,6,48,0,2,Corporate Auto,Corporate L1,Offer2,Agent,386.031248,Four-Door Car,Small
AU46443,Nevada,7517.083811,No,Basic,Bachelor,2/28/11,Unemployed,F,0,Suburban,Single,102,19,13,0,3,Personal Auto,Personal L3,Offer1,Agent,1178.995926,SUV,Medsize
TW16499,California,3633.05403,No,Extended,Bachelor,2/28/11,Employed,M,43334,Suburban,Married,95,3,72,2,1,Corporate Auto,Corporate L2,Offer4,Call Center,614.367195,Two-Door Car,Small
DO98345,Oregon,13156.74895,No,Extended,High School or Below,2/28/11,Employed,M,72517,Urban,Married,82,33,27,0,2,Personal Auto,Personal L3,Offer2,Web,371.458196,Two-Door Car,Medsize
CB44654,Arizona,2409.760898,No,Basic,Bachelor,2/28/11,Employed,M,59665,Urban,Single,62,33,3,1,1,Personal Auto,Personal L3,Offer1,Agent,167.138119,Two-Door Car,Medsize
PO89542,Oregon,5009.808888,No,Basic,Bachelor,2/28/11,Unemployed,F,0,Suburban,Married,68,21,69,0,7,Personal Auto,Personal L2,Offer1,Branch,326.4,Four-Door Car,Medsize
YM77369,Oregon,4756.12617,No,Premium,High School or Below,2/28/11,Employed,M,56146,Urban,Married,119,0,91,0,1,Corporate Auto,Corporate L2,Offer4,Web,401.785805,Four-Door Car,Large
OY92520,California,7264.803903,No,Extended,Bachelor,2/28/11,Medical Leave,F,12075,Suburban,Married,94,16,23,0,5,Personal Auto,Personal L2,Offer1,Branch,451.2,Four-Door Car,Medsize
ZU88029,Oregon,4064.670639,No,Basic,Master,2/28/11,Retired,F,26161,Suburban,Single,109,8,70,0,1,Personal Auto,Personal L3,Offer3,Branch,594.444586,Sports Car,Large
OY66019,Oregon,6259.477847,No,Extended,College,2/28/11,Unemployed,F,0,Urban,Married,83,8,78,0,4,Personal Auto,Personal L2,Offer2,Agent,254.142365,Four-Door Car,Medsize
FL18392,California,5719.088678,No,Basic,Bachelor,2/28/11,Employed,F,77601,Urban,Married,71,27,48,0,6,Personal Auto,Personal L3,Offer3,Branch,276.640352,Two-Door Car,Small
QC30857,Nevada,2931.155192,No,Basic,College,2/28/11,Employed,F,45768,Urban,Married,73,33,27,0,1,Personal Auto,Personal L2,Offer1,Agent,191.934494,Two-Door Car,Medsize
KI64666,Nevada,22445.28088,No,Basic,Bachelor,2/28/11,Unemployed,F,0,Suburban,Single,71,32,35,0,2,Personal Auto,Personal L2,Offer1,Call Center,511.2,Four-Door Car,Medsize
FV14881,California,15886.03136,No,Basic,Doctor,2/28/11,Employed,F,56362,Suburban,Married,197,30,47,1,6,Personal Auto,Personal L3,Offer4,Call Center,945.6,Luxury SUV,Medsize
ZH98656,Nevada,8593.866533,No,Basic,Master,2/28/11,Employed,F,91276,Suburban,Married,105,14,4,0,4,Personal Auto,Personal L3,Offer1,Call Center,504,SUV,Large
AN57220,Oregon,17263.64048,No,Basic,Bachelor,2/28/11,Employed,F,96917,Rural,Married,61,24,2,0,2,Special Auto,Special L3,Offer4,Web,71.942176,Four-Door Car,Medsize
NM95102,Oregon,7285.030983,Yes,Basic,High School or Below,2/28/11,Employed,M,44788,Suburban,Married,61,6,48,0,2,Personal Auto,Personal L3,Offer2,Agent,386.031248,Four-Door Car,Small
RO18530,Washington,2540.689797,No,Basic,Master,2/28/11,Employed,M,42557,Rural,Single,65,4,35,0,1,Personal Auto,Personal L3,Offer4,Agent,57.562324,Four-Door Car,Large
TL59568,Arizona,12836.00951,No,Premium,High School or Below,2/28/11,Unemployed,M,0,Suburban,Married,116,6,28,0,2,Personal Auto,Personal L2,Offer3,Agent,835.2,Two-Door Car,Medsize
SX98462,Oregon,7155.337765,No,Basic,College,2/28/11,Disabled,M,16916,Suburban,Married,64,31,31,0,2,Personal Auto,Personal L2,Offer3,Agent,377.512951,Four-Door Car,Medsize
BJ13380,Oregon,5335.375586,No,Basic,Bachelor,2/28/11,Employed,F,91603,Suburban,Single,69,4,92,2,3,Personal Auto,Personal L2,Offer1,Agent,472.67262,Four-Door Car,Small
GV71044,Oregon,2433.024631,No,Basic,College,2/28/11,Unemployed,F,0,Suburban,Single,66,12,71,0,1,Personal Auto,Personal L3,Offer1,Agent,475.2,Two-Door Car,Medsize
LU87443,Oregon,4720.608872,No,Basic,College,2/28/11,Employed,F,26277,Suburban,Single,61,17,30,0,4,Personal Auto,Personal L2,Offer3,Branch,292.8,Four-Door Car,Medsize
EE53627,Oregon,2242.090803,No,Basic,High School or Below,2/28/11,Disabled,M,12131,Urban,Single,64,32,60,1,1,Personal Auto,Personal L2,Offer3,Call Center,251.44949,Four-Door Car,Medsize
GU82757,California,4376.363592,Yes,Premium,Bachelor,2/28/11,Employed,F,63774,Rural,Divorced,111,18,63,0,1,Corporate Auto,Corporate L2,Offer2,Agent,60.036683,Four-Door Car,Medsize
IN91592,California,2810.671023,No,Basic,Bachelor,2/28/11,Employed,F,73858,Suburban,Married,72,8,59,3,1,Personal Auto,Personal L3,Offer4,Agent,422.59237,Four-Door Car,Medsize
QV30663,Nevada,9863.502214,No,Extended,Master,2/28/11,Employed,F,99654,Rural,Married,121,13,95,0,3,Personal Auto,Personal L3,Offer3,Call Center,272.788141,SUV,Medsize
JZ28301,Oregon,5552.331515,No,Basic,College,2/28/11,Employed,F,35011,Urban,Married,70,7,91,0,8,Personal Auto,Personal L3,Offer4,Call Center,215.728468,Four-Door Car,Large
ZV32968,Oregon,7285.030983,Yes,Basic,High School or Below,2/28/11,Employed,M,44788,Suburban,Married,61,6,48,0,2,Personal Auto,Personal L3,Offer2,Agent,386.031248,Four-Door Car,Small
SC11374,Nevada,8797.829644,No,Basic,College,2/28/11,Employed,F,80780,Rural,Married,109,26,11,0,3,Corporate Auto,Corporate L3,Offer2,Agent,3.55,SUV,Medsize
VE98553,Oregon,4666.643522,No,Premium,Bachelor,2/28/11,Employed,M,60466,Suburban,Married,117,14,3,0,1,Personal Auto,Personal L3,Offer2,Agent,784.186389,Four-Door Car,Large
AE62631,Oregon,8427.723769,No,Basic,Bachelor,2/28/11,Employed,M,20662,Suburban,Married,72,10,99,0,2,Personal Auto,Personal L1,Offer4,Agent,373.324673,Two-Door Car,Medsize
JI94264,Arizona,10053.55227,No,Extended,College,2/28/11,Disabled,M,16511,Suburban,Single,135,35,4,0,5,Personal Auto,Personal L3,Offer2,Agent,972,SUV,Large
GW14698,Arizona,4882.493829,No,Basic,College,2/28/11,Employed,F,80604,Urban,Married,61,22,86,0,3,Corporate Auto,Corporate L3,Offer4,Web,255.982609,Four-Door Car,Medsize
LY17372,Arizona,5112.306584,No,Extended,College,2/28/11,Employed,M,44743,Suburban,Divorced,137,16,55,4,1,Personal Auto,Personal L3,Offer1,Branch,741.300032,SUV,Small
CD71502,Arizona,3664.22055,No,Basic,High School or Below,2/28/11,Unemployed,M,0,Suburban,Divorced,103,8,75,0,1,Personal Auto,Personal L3,Offer1,Branch,642.773149,SUV,Medsize
LC23144,California,8478.30421,No,Basic,High School or Below,2/28/11,Medical Leave,F,13870,Suburban,Married,109,1,78,0,5,Personal Auto,Personal L3,Offer3,Web,550.430985,SUV,Medsize
TK61994,Oregon,6104.501453,No,Extended,College,2/28/11,Disabled,F,18690,Rural,Married,80,10,63,0,5,Personal Auto,Personal L2,Offer1,Agent,18.192921,Four-Door Car,Medsize
WP58797,Oregon,3936.785538,No,Basic,Bachelor,2/28/11,Disabled,M,19245,Suburban,Married,106,28,61,0,1,Personal Auto,Personal L3,Offer3,Web,508.8,SUV,Large
QR53727,Arizona,7974.390276,No,Basic,High School or Below,2/28/11,Unemployed,F,0,Suburban,Single,109,5,64,0,4,Personal Auto,Personal L3,Offer1,Web,523.2,SUV,Medsize
MB63131,Oregon,4652.886703,No,Basic,Bachelor,2/28/11,Unemployed,F,0,Suburban,Married,64,5,18,1,6,Corporate Auto,Corporate L2,Offer1,Call Center,307.2,Four-Door Car,Medsize
VD19899,California,27542.36956,No,Premium,Doctor,2/28/11,Employed,F,50494,Urban,Married,114,19,15,0,2,Personal Auto,Personal L3,Offer2,Call Center,491.322893,Two-Door Car,Medsize
NL17031,Washington,2972.459706,No,Extended,High School or Below,2/28/11,Unemployed,M,0,Suburban,Single,84,31,28,0,1,Personal Auto,Personal L3,Offer2,Agent,604.8,Two-Door Car,Medsize
HU81007,Oregon,8196.077584,No,Basic,Bachelor,2/28/11,Disabled,F,21706,Suburban,Divorced,108,19,28,0,3,Personal Auto,Personal L3,Offer1,Agent,518.4,SUV,Medsize
WG26617,Oregon,9732.584122,No,Extended,Bachelor,2/28/11,Employed,M,38279,Rural,Married,82,5,41,0,2,Personal Auto,Personal L3,Offer1,Web,64.396979,Two-Door Car,Medsize
NC34154,California,8066.073765,No,Basic,High School or Below,2/28/11,Disabled,F,17950,Suburban,Married,71,16,62,2,2,Special Auto,Special L2,Offer2,Web,340.8,Two-Door Car,Medsize
OD70577,Arizona,2840.899849,No,Extended,College,2/28/11,Unemployed,F,0,Suburban,Single,80,3,99,1,1,Personal Auto,Personal L3,Offer1,Branch,962.526106,Two-Door Car,Medsize
SB83749,California,4717.62873,No,Basic,High School or Below,2/28/11,Employed,M,20355,Suburban,Married,61,4,6,1,3,Personal Auto,Personal L1,Offer2,Branch,439.2,Four-Door Car,Large
XN18885,Oregon,7285.030983,Yes,Basic,High School or Below,2/28/11,Employed,M,44788,Suburban,Married,61,6,48,0,2,Personal Auto,Personal L2,Offer2,Agent,386.031248,Four-Door Car,Small
NX62002,Oregon,17497.52201,Yes,Basic,College,2/28/11,Unemployed,M,0,Suburban,Divorced,73,9,94,0,2,Corporate Auto,Corporate L3,Offer1,Agent,350.4,Two-Door Car,Medsize
YZ60434,Oregon,5380.091626,No,Basic,Master,2/28/11,Unemployed,M,0,Rural,Divorced,74,19,41,0,8,Personal Auto,Personal L2,Offer1,Web,59.026302,Four-Door Car,Medsize
AX36597,Arizona,5907.151868,No,Extended,College,2/28/11,Unemployed,F,0,Suburban,Married,81,8,47,0,8,Personal Auto,Personal L3,Offer4,Branch,390.161912,Four-Door Car,Medsize
PL33465,Arizona,4376.363592,Yes,Premium,Bachelor,2/28/11,Employed,F,63774,Rural,Divorced,111,18,63,0,1,Personal Auto,Personal L2,Offer2,Agent,60.036683,Four-Door Car,Medsize
LM50087,Arizona,2483.642397,No,Basic,College,2/28/11,Employed,F,50632,Rural,Married,62,26,42,0,1,Corporate Auto,Corporate L2,Offer3,Agent,54.961039,Two-Door Car,Medsize
OS95734,California,7074.398104,No,Extended,Bachelor,2/28/11,Employed,F,94508,Suburban,Married,88,27,54,0,3,Personal Auto,Personal L3,Offer4,Agent,491.384479,Four-Door Car,Medsize
HT64629,Washington,12234.36232,No,Basic,High School or Below,2/28/11,Unemployed,F,0,Suburban,Single,117,15,68,0,2,Personal Auto,Personal L2,Offer2,Branch,930.594707,SUV,Medsize
SL71970,Oregon,2336.177331,No,Basic,High School or Below,2/28/11,Unemployed,F,0,Suburban,Single,67,21,28,0,1,Special Auto,Special L3,Offer2,Agent,458.661381,Four-Door Car,Medsize
LT16517,Oregon,10827.87278,No,Extended,High School or Below,2/28/11,Employed,F,62053,Urban,Married,134,3,89,0,5,Personal Auto,Personal L3,Offer1,Web,614.03209,SUV,Medsize
RQ78687,Oregon,2945.998877,No,Basic,College,2/28/11,Employed,M,89410,Rural,Divorced,74,11,50,0,1,Personal Auto,Personal L2,Offer2,Agent,95.997363,Four-Door Car,Medsize
UQ71296,Washington,5625.307768,No,Basic,College,2/28/11,Employed,M,97095,Urban,Married,70,4,8,0,5,Personal Auto,Personal L1,Offer4,Branch,208.035411,Four-Door Car,Large
BC77846,Nevada,6325.030596,No,Extended,High School or Below,2/28/11,Unemployed,M,0,Suburban,Married,89,4,86,0,7,Personal Auto,Personal L2,Offer3,Agent,614.572672,Two-Door Car,Medsize
LE74625,California,2961.31408,No,Extended,Master,2/28/11,Medical Leave,M,22608,Suburban,Married,77,5,10,0,1,Personal Auto,Personal L1,Offer2,Agent,369.6,Four-Door Car,Small
VV35420,Arizona,7285.030983,Yes,Basic,High School or Below,2/28/11,Employed,M,44788,Suburban,Married,61,6,48,0,2,Personal Auto,Personal L1,Offer2,Agent,386.031248,Four-Door Car,Small
HW19141,Oregon,3452.414955,No,Extended,Bachelor,2/28/11,Employed,F,65773,Urban,Married,89,24,35,4,1,Corporate Auto,Corporate L2,Offer2,Call Center,245.308491,Four-Door Car,Medsize
PF88939,Nevada,7860.086842,No,Basic,Doctor,2/28/11,Disabled,M,21726,Suburban,Married,104,20,79,0,8,Personal Auto,Personal L2,Offer2,Branch,697.010998,SUV,Medsize
HL14274,California,11895.18188,No,Extended,College,2/28/11,Employed,F,88218,Rural,Divorced,99,9,25,0,2,Personal Auto,Personal L3,Offer2,Web,50.32306,Two-Door Car,Large
XC77244,Oregon,7285.030983,Yes,Basic,High School or Below,2/28/11,Employed,M,44788,Suburban,Married,61,6,48,0,2,Personal Auto,Personal L3,Offer2,Agent,386.031248,Four-Door Car,Small
RU75949,Oregon,12332.51669,No,Basic,College,2/28/11,Employed,M,85789,Rural,Married,105,18,54,2,2,Personal Auto,Personal L1,Offer1,Agent,122.302824,Sports Car,Medsize
CK29372,California,5070.352408,No,Basic,College,2/28/11,Employed,F,23840,Suburban,Married,64,32,66,0,7,Personal Auto,Personal L2,Offer4,Call Center,307.2,Four-Door Car,Small
RZ98310,Nevada,17349.03226,No,Extended,Bachelor,2/28/11,Unemployed,F,0,Suburban,Married,92,3,7,0,2,Personal Auto,Personal L3,Offer1,Call Center,441.6,Four-Door Car,Medsize
YP38413,Oregon,25805.50599,No,Basic,College,2/28/11,Employed,F,86901,Urban,Single,72,24,73,0,2,Personal Auto,Personal L2,Offer1,Agent,313.366255,Two-Door Car,Medsize
LJ35581,Washington,10025.91827,No,Premium,Bachelor,2/28/11,Unemployed,F,0,Suburban,Single,141,25,27,0,3,Personal Auto,Personal L3,Offer2,Agent,1015.2,SUV,Medsize
AZ15952,Oregon,8749.496793,No,Premium,Bachelor,2/28/11,Employed,M,52373,Rural,Divorced,111,2,37,0,9,Personal Auto,Personal L3,Offer1,Web,186.160527,Four-Door Car,Medsize
ER51965,Washington,4240.925575,No,Premium,College,2/28/11,Employed,M,49746,Suburban,Married,111,4,85,3,1,Corporate Auto,Corporate L2,Offer1,Agent,589.298521,Four-Door Car,Medsize
CJ59481,Washington,2837.109178,No,Basic,College,2/28/11,Employed,M,90893,Rural,Married,70,8,82,0,1,Personal Auto,Personal L3,Offer1,Agent,70.712507,Two-Door Car,Medsize
JZ76788,Nevada,3303.090814,No,Extended,College,2/28/11,Employed,M,29385,Suburban,Single,88,18,8,2,1,Personal Auto,Personal L2,Offer1,Agent,422.4,Two-Door Car,Small
IU95336,Arizona,2823.501795,No,Basic,High School or Below,2/28/11,Employed,M,24350,Suburban,Married,73,6,89,3,1,Corporate Auto,Corporate L2,Offer2,Branch,350.4,Four-Door Car,Medsize
NN44612,Nevada,4909.844198,No,Basic,Bachelor,2/28/11,Employed,F,61402,Urban,Divorced,62,1,69,0,3,Personal Auto,Personal L3,Offer1,Agent,252.157829,Two-Door Car,Medsize
KM65135,Oregon,4763.327142,No,Basic,College,2/28/11,Disabled,M,14957,Suburban,Single,66,24,68,0,8,Corporate Auto,Corporate L3,Offer1,Branch,316.8,Four-Door Car,Small
UR27848,California,17497.52201,Yes,Basic,College,2/28/11,Unemployed,M,0,Suburban,Divorced,73,9,94,0,2,Personal Auto,Personal L1,Offer1,Agent,350.4,Two-Door Car,Medsize
SG53084,California,4766.645359,No,Basic,Bachelor,2/28/11,Employed,F,70432,Rural,Married,61,16,49,3,4,Personal Auto,Personal L2,Offer4,Web,6.422285,Four-Door Car,Medsize
AT18041,California,2682.704812,No,Basic,High School or Below,2/28/11,Employed,F,63471,Suburban,Married,67,0,71,0,1,Personal Auto,Personal L1,Offer2,Agent,387.71779,Two-Door Car,Large
BT68954,Oregon,3561.035706,No,Extended,Bachelor,2/28/11,Unemployed,M,0,Suburban,Single,99,35,15,0,1,Special Auto,Special L2,Offer1,Agent,712.8,Four-Door Car,Medsize
UO12263,Oregon,4654.954187,No,Basic,High School or Below,2/28/11,Unemployed,F,0,Suburban,Married,69,31,76,4,3,Corporate Auto,Corporate L1,Offer1,Agent,331.2,Four-Door Car,Medsize
VQ48245,Washington,3221.788294,No,Extended,Master,2/28/11,Employed,F,77882,Suburban,Married,79,17,36,0,1,Personal Auto,Personal L3,Offer3,Web,379.2,Four-Door Car,Small
FL50532,Arizona,8237.251407,No,Basic,Master,2/28/11,Employed,M,48866,Suburban,Married,103,5,76,0,3,Personal Auto,Personal L1,Offer3,Web,494.4,Sports Car,Medsize
YC45944,Arizona,3885.456401,Yes,Premium,College,2/28/11,Unemployed,M,0,Suburban,Married,105,3,92,0,1,Personal Auto,Personal L2,Offer1,Branch,504,Four-Door Car,Large
PB16956,Oregon,7842.377593,No,Extended,College,2/28/11,Employed,F,51001,Urban,Married,99,13,49,1,3,Personal Auto,Personal L1,Offer1,Agent,291.890464,Four-Door Car,Medsize
UZ95992,California,4376.363592,Yes,Premium,Bachelor,2/28/11,Employed,F,63774,Rural,Divorced,111,18,63,0,1,Personal Auto,Personal L3,Offer2,Agent,60.036683,Four-Door Car,Medsize
LX74249,Oregon,2938.814981,No,Basic,Bachelor,2/28/11,Employed,F,96765,Urban,Married,72,28,61,0,1,Personal Auto,Personal L3,Offer3,Call Center,216.01091,Two-Door Car,Medsize
QI11566,Oregon,2534.990075,No,Basic,Bachelor,2/28/11,Disabled,F,25163,Suburban,Married,67,32,18,0,1,Corporate Auto,Corporate L2,Offer2,Branch,321.6,Two-Door Car,Small
LK39646,Washington,8018.503854,No,Basic,Bachelor,2/28/11,Employed,F,58843,Urban,Single,68,1,96,0,2,Corporate Auto,Corporate L1,Offer3,Call Center,200.490816,Two-Door Car,Large
UA53326,Oregon,3304.758268,No,Extended,College,2/28/11,Retired,F,23931,Suburban,Single,95,4,24,0,1,Personal Auto,Personal L3,Offer4,Web,456,Four-Door Car,Large
ZF81243,Nevada,4376.363592,Yes,Premium,Bachelor,2/28/11,Employed,F,63774,Rural,Divorced,111,18,63,0,1,Personal Auto,Personal L1,Offer2,Agent,60.036683,Four-Door Car,Medsize
GE49670,Arizona,7429.079194,No,Premium,High School or Below,2/28/11,Unemployed,M,0,Suburban,Married,101,6,43,0,9,Personal Auto,Personal L3,Offer3,Branch,549.692452,Four-Door Car,Medsize
CR76145,California,3885.456401,Yes,Premium,College,2/28/11,Unemployed,M,0,Suburban,Married,105,3,92,0,1,Personal Auto,Personal L2,Offer1,Branch,504,Four-Door Car,Large
XY57950,California,3618.432755,No,Extended,College,2/28/11,Unemployed,M,0,Suburban,Divorced,99,0,71,0,1,Special Auto,Special L2,Offer1,Branch,475.2,Four-Door Car,Medsize
RM31359,Oregon,3129.110699,No,Extended,High School or Below,2/28/11,Employed,F,48056,Suburban,Married,78,15,92,0,1,Corporate Auto,Corporate L3,Offer3,Agent,374.4,Four-Door Car,Small
SN26999,Oregon,10925.82157,No,Extended,High School or Below,2/28/11,Employed,F,98542,Suburban,Single,90,1,93,0,2,Personal Auto,Personal L3,Offer2,Agent,432,Two-Door Car,Small
PQ35034,Oregon,9918.69966,No,Basic,College,2/28/11,Employed,F,37586,Rural,Divorced,63,29,90,0,2,Corporate Auto,Corporate L3,Offer1,Branch,153.489143,Two-Door Car,Medsize
QV76563,Arizona,5070.227097,No,Basic,Doctor,2/28/11,Unemployed,F,0,Suburban,Divorced,69,8,24,0,6,Personal Auto,Personal L2,Offer4,Agent,331.2,Four-Door Car,Small
EA55071,Arizona,4376.363592,Yes,Premium,Bachelor,2/28/11,Employed,F,63774,Rural,Divorced,111,18,63,0,1,Personal Auto,Personal L2,Offer2,Agent,60.036683,Four-Door Car,Medsize
SY36127,California,2874.08847,No,Basic,Master,2/28/11,Employed,F,33462,Rural,Married,72,12,9,0,1,Personal Auto,Personal L3,Offer2,Branch,112.425578,Four-Door Car,Medsize
MB12747,Nevada,9788.713108,No,Extended,Bachelor,2/28/11,Employed,M,31930,Rural,Married,83,19,30,0,2,Personal Auto,Personal L3,Offer1,Branch,37.699658,Four-Door Car,Medsize
FT61724,California,4633.550875,No,Basic,Bachelor,2/28/11,Employed,F,29105,Rural,Married,117,28,31,0,1,Personal Auto,Personal L3,Offer2,Branch,272.612048,Sports Car,Medsize
